"","LSOA21CD","distance_any_greenspace","distance_doorstop_greenspace","distance_local_greenspace","distance_neighbourhood_greenspace","distance_wider_greenspace","distance_district_greenspace","distance_subregional_greenspace","LSOA11CD"
"924","E01012426",132.9769227,133.1549358,157.1502096,157.1502096,428.2044816,6242.056703,9754.687683,"E01012426"
"925","E01012427",82.02659264,107.5021705,152.2819196,154.5586059,346.8740974,6012.839676,9367.699065,"E01012427"
"926","E01012429",218.1791085,338.283906,338.283906,347.7271383,347.7271383,4133.076638,10481.66966,"E01012429"
"927","E01012430",157.85268605,235.9271161,839.9576623,1544.252409,1544.252409,3402.22612,11492.05374,"E01012430"
"928","E01012431",145.9524068,244.7695162,695.7073267,1447.945065,1451.748481,3084.242685,11332.67116,"E01012431"
"929","E01012432",329.2503407,837.64547875,837.64547875,844.8452078,844.8452078,844.8452078,10055.584735,"E01012432"
"930","E01012433",170.402538,797.239021,797.239021,1194.042962,1194.042962,1194.042962,9679.468664,"E01012433"
"931","E01012434",366.8571027,583.2312433,583.2312433,583.2312433,583.2312433,583.2312433,11055.48599,"E01012434"
"932","E01012435",215.8874938,260.14265145,260.31298885,260.31298885,260.31298885,260.31298885,10492.59014,"E01012435"
"933","E01012436",290.6193203,329.2241739,329.2241739,488.6500758,488.6500758,488.6500758,9936.713397,"E01012436"
"934","E01012437",235.36524685,297.0268989,297.0268989,352.0520757,352.0520757,352.0520757,9409.488576,"E01012437"
"935","E01012438",199.1502402,317.5962025,317.5962025,896.2761457,896.2761457,896.2761457,9563.340998,"E01012438"
"936","E01012439",128.84588565,221.56783565,289.80473135,678.6094767,678.6094767,678.6094767,8933.2260045,"E01012439"
"937","E01012440",223.8397076,267.4724816,391.3505086,905.23302,905.23302,905.23302,9035.5816795,"E01012440"
"938","E01012441",183.18851425,215.5076449,492.3130389,564.8653275,1681.139106,4847.300501,10995.613445,"E01012441"
"939","E01012442",237.84457455,439.7021032,439.7021032,439.7021032,1288.73808,6643.662546,8908.9722395,"E01012442"
"940","E01012443",159.3804699,731.4102856,731.4102856,749.4982137,1530.942298,6683.027154,9151.176457,"E01012443"
"941","E01012444",109.6704586,232.3379916,232.3379916,263.3912058,263.3912058,263.3912058,10999.97622,"E01012444"
"942","E01012445",142.18175215,574.7395324,592.74403985,617.54389985,617.54389985,617.54389985,11365.192915,"E01012445"
"943","E01012446",200.73924795,206.5801571,206.5801571,1013.1167085,1013.1167085,6472.376845,8327.52844,"E01012446"
"944","E01012447",122.3266362,122.3266362,122.3266362,1186.902525,1186.902525,5759.749249,9505.901639,"E01012447"
"945","E01012448",279.6631627,606.4018858,606.4018858,2566.2849425,2566.2849425,6417.1198205,9400.6862195,"E01012448"
"946","E01012449",300.3395919,300.3395919,300.3395919,532.3754153,532.3754153,5269.993235,9389.34263,"E01012449"
"947","E01012450",195.4162245,227.946666,275.7285008,1047.188523,1047.188523,7152.595889,7447.707744,"E01012450"
"948","E01012451",111.13105605,201.46065135,201.46065135,1305.1946955,1305.1946955,7317.88131,7348.820162,"E01012451"
"949","E01012452",205.9554324,203.73447815,266.64518265,579.96649225,579.96649225,6739.215346,8271.8566365,"E01012452"
"950","E01012453",168.4565961,242.8234526,242.8234526,308.4356802,334.5319549,6690.165644,9138.012561,"E01012453"
"951","E01012454",258.512532,313.9988937,633.4614378,1129.855668,1151.226037,5640.348218,7885.358795,"E01012454"
"952","E01012455",149.1798608,171.2863797,394.5399798,864.44254705,873.7242997,5928.584857,8325.6958005,"E01012455"
"953","E01012457",114.1282654,685.7670282,744.5801755,1661.743405,1661.743405,5795.908295,7923.698252,"E01012457"
"954","E01012458",170.80339745,221.9402653,432.70829115,2426.372087,2719.946154,6038.7209495,9132.5191105,"E01012458"
"955","E01012459",112.9184869,133.8871926,155.4689073,235.5643786,235.5643786,1246.621333,11956.96299,"E01012459"
"956","E01012460",150.67807635,163.791413,173.5477159,268.67646015,268.67646015,1556.266325,11481.94274,"E01012460"
"957","E01012461",125.98360235,125.98360235,125.98360235,125.98360235,125.98360235,126.83864235,10700.66858,"E01012461"
"958","E01012462",269.7139703,269.7139703,269.7139703,269.7139703,269.7139703,505.16299805,10468.69045,"E01012462"
"959","E01012463",183.1416435,185.3230107,227.1711995,553.411613,553.411613,2368.413766,12005.05048,"E01012463"
"960","E01012464",104.1051313,125.7809308,137.7900091,469.4645714,469.4645714,2193.692176,11632.48238,"E01012464"
"961","E01012465",84.70307983,85.395440585,85.395440585,95.880660485,95.880660485,410.52045215,11945.4246,"E01012465"
"962","E01012466",62.98753143,64.53829486,64.53829486,140.314161,140.314161,786.3645215,11536.18289,"E01012466"
"963","E01012467",196.34763335,268.0263887,277.4376844,1049.6349615,1049.6349615,9374.061572,11601.907285,"E01012467"
"964","E01012468",140.4937583,335.5512862,396.87908255,1701.2885875,1713.561393,6908.6676015,9739.111829,"E01012468"
"965","E01012469",191.9008566,414.1492366,545.7186332,733.0680814,734.2313067,8927.005202,11856.82255,"E01012469"
"966","E01012470",121.5805608,137.86362815,293.28738535,561.02525965,561.02525965,9078.2550735,12156.35596,"E01012470"
"967","E01012471",509.4408815,558.4194781,561.8654736,1057.522246,1057.522246,4009.68539,12086.27441,"E01012471"
"968","E01012472",284.2680235,328.9660138,1237.536921,1242.830076,1255.997818,3990.219761,12360.27059,"E01012472"
"969","E01012473",303.22677565,303.22677565,373.05819925,824.86385115,824.86385115,4103.9094425,12134.84475,"E01012473"
"970","E01012474",227.4170684,222.2622488,262.0758536,1233.3284905,1233.3284905,3633.805598,11651.4924,"E01012474"
"971","E01012475",169.1357212,169.1357212,359.2900485,1794.139169,1794.139169,3185.462025,11210.54231,"E01012475"
"972","E01012476",166.292719,244.1991256,1140.312124,2276.227531,2276.227531,3697.719025,13662.14143,"E01012476"
"973","E01012477",317.51802395,317.51802395,317.51802395,349.8873824,349.8873824,3820.467938,12764.855385,"E01012477"
"974","E01012478",159.8578004,208.9193698,218.7290974,299.8024593,1121.180235,5634.908232,8126.400452,"E01012478"
"975","E01012479",144.0787635,153.1685495,164.9627909,234.3721569,1156.055606,6048.515263,8679.566896,"E01012479"
"976","E01012480",102.0504173,362.2440549,474.7515564,619.0171398,628.2584939,6016.528484,8463.777285,"E01012480"
"977","E01012481",112.6996071,136.05394765,217.2243321,311.64827635,1486.614847,5465.4356085,8676.324007,"E01012481"
"978","E01012482",173.1031751,173.1031751,178.22919775,403.1904367,1781.7972775,5698.4717855,9317.840049,"E01012482"
"979","E01012483",75.71801417,126.9444335,733.38445425,775.02816885,1553.77294,4976.1333405,9135.552831,"E01012483"
"980","E01012485",366.7132208,550.6525463,590.7543187,2113.266726,2113.266726,6876.357223,6935.006308,"E01012485"
"981","E01012486",419.0412114,484.0659009,725.2694666,1662.53165,1662.53165,7450.230583,6164.976355,"E01012486"
"982","E01012487",138.6357118,148.0129441,347.02968175,2099.6169475,2099.6169475,7438.872674,6551.811986,"E01012487"
"983","E01012488",349.51622695,542.0253286,545.29524965,2730.126216,2730.126216,6877.967673,7886.3689655,"E01012488"
"984","E01012489",253.72860325,352.9257518,482.9238271,2383.104746,2383.104746,7598.844383,6859.9947705,"E01012489"
"985","E01012490",178.8498976,412.7765949,412.7765949,2654.594177,2654.594177,6828.522589,7632.20208,"E01012490"
"986","E01012491",134.0637815,134.0637815,238.6539735,258.696897,1619.286464,8479.744947,11495.89068,"E01012491"
"987","E01012492",216.5741133,223.009834,236.5888098,236.5888098,2124.269508,8407.329768,10985.21718,"E01012492"
"988","E01012493",146.5797749,173.13321355,558.1482025,609.1683058,1462.44367,8096.625734,11793.91591,"E01012493"
"989","E01012494",212.1570244,379.81411035,414.74175135,730.4853451,851.5635172,8710.049826,12188.06865,"E01012494"
"990","E01012495",204.2044556,227.1020906,286.76946555,1347.940364,2524.962967,7348.8379345,10252.831885,"E01012495"
"991","E01012496",208.0622603,227.3963324,380.206743,793.6139227,2428.001376,7417.587819,10283.33106,"E01012496"
"992","E01012497",80.143778055,135.92506715,135.92506715,1347.8382185,1380.1451025,6795.0679535,9350.978574,"E01012497"
"993","E01012498",187.4184261,285.8052611,335.8335672,1151.550619,1674.446475,7011.631954,9652.68899,"E01012498"
"994","E01012499",239.1483548,447.84982175,576.48458235,785.4853807,2066.1164445,7330.5680215,9988.5438645,"E01012499"
"995","E01012500",111.9952477,176.4062068,359.7232517,359.7232517,2285.204892,7966.054188,10742.21091,"E01012500"
"996","E01012501",108.53563925,112.34618335,191.72297745,1580.1412165,2211.459202,6709.755693,9626.459988,"E01012501"
"997","E01012502",280.4871204,449.5213553,480.5346521,1177.174014,1261.289027,7505.285076,8308.349226,"E01012502"
"998","E01012503",246.2963945,246.2963945,283.8289505,1446.501179,1446.501179,4656.259282,10167.91385,"E01012503"
"999","E01012505",160.8920189,161.2049731,218.8662547,645.0457301,645.0457301,7405.797437,6907.478988,"E01012505"
"1000","E01012506",182.139729,182.139729,188.2893088,421.3120769,421.3120769,6780.482485,7063.309997,"E01012506"
"1001","E01012507",235.7732032,240.7455791,240.7455791,650.9835223,650.9835223,7199.292078,6454.23918,"E01012507"
"1002","E01012508",286.9133235,313.4782364,313.4782364,711.004255,711.004255,7015.112355,6720.399517,"E01012508"
"1003","E01012509",191.9139131,191.9139131,200.2912607,1657.807021,1746.25568,6564.7746,8295.99331,"E01012509"
"1004","E01012510",246.2807215,327.832033,328.4091898,1045.505147,1045.505147,6472.898833,7816.571354,"E01012510"
"1005","E01012511",264.3507257,264.3507257,262.1253968,262.1253968,262.1253968,6736.9675935,7400.3067375,"E01012511"
"1006","E01012512",215.32038085,215.32038085,218.61522405,1467.2443105,1467.2443105,5666.691593,8296.4568285,"E01012512"
"1007","E01012513",135.6637455,194.2323041,235.3364784,950.4782882,982.1168418,5652.756644,10012.73302,"E01012513"
